contrato_id,titulo,contenido,longitud
contrato_01,Primera.,Primera. Regulación El presente contrato se regulará por lo aquí pactado y en su defecto por lo establecido por la Ley de Arrendamientos Urbanos.,145
contrato_01,Segunda.,"Segunda. Objeto y entrega de la posesión. El contenido del contrato es el alquiler de un inmueble con destino a vivienda permanente para……. (identificar el nº de personas, familia, etc). El arrendador, hace entrega con la firma de este contrato de las llaves de la vivienda alquilada y de su posesión. También entrega en cumplimiento de la normativa vigente el certificado energético de la vivienda. El arrendatario la recibe con pleno conocimiento de las condiciones en las que se encuentra y se somete al régimen de propiedad horizontal en el que se encuentra el inmueble. Asimismo el arrendatario se compromete a: - Utilizar la vivienda con la debida diligencia y destinarla al que está destinada. - Conservarla en las condiciones en las que le fue entregada, sin que sufra mayores deterioros que el propio de su utilización ordinaria y el deterioro producido por el paso del tiempo o por causa inevitable. - No realizar actividades de tipo industrial o actividades molestas, insalubres, nocivas o peligrosas; - (Añadir las que se estimen pertinentes de mutuo acuerdo por las partes)",1086
contrato_01,Tercera.,"Tercera. Plazo de duración (Si el arrendatario es persona física) El plazo de duración del presente contrato de arrendamiento es de un año, a contar desde la fecha del otorgamiento de este contrato. El arrendamiento se prorrogará de manera automática por períodos anuales hasta un plazo de 5 años, salvo que el arrendatario comunique por escrito al arrendador su intención de no renovarlo con treinta días de antelación al cumplimiento del plazo pactado o de cualquiera de sus prórrogas anuales.",495
contrato_01,Cuarta.,"Cuarta. Facultad de recuperar la vivienda por parte del arrendador. (La inclusión de esta cláusula está sujeta al libre acuerdo de las partes) El arrendador deja constancia que no procederá la prórroga obligatoria de este contrato en el caso de que, trascurrido el primer año de contrato, comunique que va a necesitar ocupar la vivienda arrendada antes del transcurso de cinco años para destinarla a vivienda permanente para sí o sus familiares de primer grado de consanguinidad o por adopción, o para su cónyuge en los supuestos de sentencia firme de separación, divorcio o nulidad matrimonial. Dicha comunicación se hará por escrito y con dos meses de antelación a la fecha en la que se vaya a necesitar. En ese caso, el arrendatario estará obligado a entregar la vivienda en dicho plazo sin que ello genere derecho a indemnización alguna por parte del arrendador.",866
contrato_01,Quinta.,"Quinta. Desistimiento por parte del arrendatario. (La inclusión de esta cláusula está sujeta al libre acuerdo de las partes) El arrendatario podrá desistir del contrato una vez que hayan transcurrido seis meses desde su firma, siempre que avise con treinta días de antelación. En este caso el arrendatario deberá indemnizar al arrendado con una cantidad equivalente a una mensualidad de la renta en vigor por cada año que reste por cumplir o a una parte proporcional a la indemnización si el período es inferior a un año.",521
contrato_01,Sexta.,"Sexta. Prórroga tácita (Si el arrendatario es persona física) Una vez transcurridos como mínimo cinco años de duración del contrato, si el arrendatario no ha notificado al arrendador su intención de no renovarlo con un plazo de 2 meses de antelación, ni el arrendador al arrendatario con un plazo de 4 meses, el contrato se prorrogará obligatoriamente por plazos anuales hasta un máximo de tres años más, salvo que el arrendatario manifieste al arrendador con un mes de antelación a la fecha de terminación de cualquiera de las anualidades, su voluntad de no renovar el contrato.",579
contrato_01,Séptima.,"Séptima. Renta Se fija como renta mensual la cantidad de …… euros. Se pagará mensualmente por meses anticipados, dentro de los siete primeros días de cada mes, mediante ingreso en metálico o transferencia bancaria a favor del Arrendador en la cuenta que a nombre de este último y con el nº ............... existe en el Banco (Caja) ....., sucursal nº ....... . El pago se acreditará de manera suficiente mediante el oportuno resguardo del ingreso o transferencia realizados o, si se paga en metálico, mediante el correspondiente recibo expedido por el arrendador.",563
contrato_01,Octava.,"Octava. Actualización de la renta. (La inclusión de esta cláusula está sujeta al libre acuerdo de las partes. Si no se incluye la renta no se actualizará.) La renta solo podrá ser actualizada en la fecha en que se cumpla cada año de vigencia del contrato. Se actualizará para cada anualidad por referencia a la variación anual del Índice de Garantía de Competitividad a fecha de cada actualización, tomando como mes de referencia para la actualización el que corresponda al último índice que estuviera publicado en la fecha de actualización del contrato. El incremento producido como consecuencia de la actualización anual de la renta no podrá exceder del resultado de aplicar la variación porcentual experimentada por el Índice de Precios al Consumo a fecha de cada actualización, tomando como mes de referencia para la actualización el que corresponda al último índice que estuviera publicado en la fecha de actualización del contrato. La renta actualizada será exigible a partir del mes siguiente a aquel en que se haya notificado por escrito expresando el porcentaje de alteración aplicado y acompañando, si el arrendatario lo exigiera, la oportuna certificación del Instituto Nacional de Estadística. Será válida la notificación efectuada por nota en el recibo de la mensualidad del pago precedente.",1304
contrato_01,Novena.,"Novena. Gastos y servicios El precio del arrendamiento incluye los gastos generales del inmueble, servicios, tributos, cargas que consistan en…..., así como las demás responsabilidades no susceptibles de individualización (Tanto los gastos (individualizados o no) como las forma en la que se repercuten al inquilino, quedará sujeta al libre acuerdo de las partes)",363
contrato_01,Décima.,"Décima. Fianza En el momento de la firma de este contrato, el arrendatario hace entrega al arrendador del importe de una mensualidad de renta, .......... euros, en concepto de fianza legal. (En el caso de que la normativa así lo exija el arrendador se comprometerá a su depósito legal) (Las partes podrán pactar una garantía adicional o complementaria que no es obligatoria y que en ningún caso podrá exceder de dos mensualidades de renta.) La fianza legal (y en su caso, la garantía complementaria) quedan establecidas en garantía de las obligaciones legales y contractuales del arrendatario. En ningún caso su importe podrá imputarse al pago de la renta ni a ningún otro concepto de gastos. La devolución de la fianza (y, en su caso, de la garantía complementaria) se hará en el momento de resolución del contrato, contando intereses legales de demora si dicha devolución se retrasa en más de un mes.",902
contrato_01,Undécima.,"Undécima. Conservación de la vivienda El arrendador se compromete a realizar, sin derecho a elevar por ello la renta, las reparaciones que sean necesarias para conservar la vivienda en condiciones de habitabilidad, salvo que aquellas sean consecuencia de un deterioro imputable al arrendatario, sus dependientes o visitantes, por acción, omisión o negligencia. Transcurrido los cinco primeros años de duración del contrato el arrendador podrá realizar obras de mejora, lo que le dará derecho a elevar las renta con las limitaciones previstas por la Ley de arrendamientos urbanos. (La inclusión de esta cláusula está sujeta al libre acuerdo de las partes)",654
contrato_01,Duodécima.,"Duodécima. Obras del arrendatario El arrendatario no podrá realizar en la vivienda obras que modifiquen su configuración o la de cualquiera de sus accesorios, sin el permiso de la parte arrendadora expresado por escrito. La 6 contravención de esta cláusula será causa de resolución del presente contrato y el arrendador podrá exigir la reposición de las cosas al estado anterior. Las obras autorizadas se realizarán a expensas del arrendatario y, al término del contrato, quedarán a beneficio de la propiedad sin generar derecho a indemnización alguna. (Como regla especial, las partes pactar que el arrendatario realice obras de reforma o rehabilitación del inmueble, en las condiciones que ambos acuerden, reemplazando total o parcialmente el pago de la renta, durante un plazo determinado)",792
contrato_01,Décimo tercera.,"Décimo tercera. Cesión y subarriendo El contrato no se podrá ceder o subarrendar por el arrendatario sin el consentimiento escrito del arrendador. En el caso de tener dicho consentimiento se regulará por lo pactado entre las partes. En todo caso, se extinguirá cuando lo haga el del arrendatario y el precio no podrá exceder del establecido para el arrendamiento.",363
contrato_01,Décimo cuarta.,"Décimo cuarta. Resolución del contrato El incumplimiento de cualquiera de las cláusulas de este contrato y, en su defecto, de la normativa que resulte de aplicación, será causa de resolución del contrato para cualquiera de las partes.",234
contrato_01,Décimo quinta.,"Décimo quinta. Resolución de conflictos. . La regla general es que el incumplimiento por cualquiera de las partes de las obligaciones resultantes del contrato dará derecho a la parte que hubiere cumplido las suyas a exigir el cumplimiento de la obligación o a promover la resolución del contrato de acuerdo con lo dispuesto en el artículo 1.124 del Código Civil. No obstante, existen también otras causas, como las dos que se señalan a continuación: - Cuando se realicen obras de conservación u obras acordadas por una autoridad competente que hagan la vivienda inhabitable. En tal caso el arrendatario tiene el derecho de suspender el contrato o de desistir del mismo, sin indemnización alguna a favor del arrendador (art. 26 LAU) y - Cuando se produzca la pérdida de la finca arrendada por causa no imputable al arrendador o por la declaración firme de ruina acordada por la autoridad competente. La LAU habla también de supuestos en los que puede resolverse el contrato, los cuales son igualmente una forma de desaparición o extinción del mismo. En el caso del arrendador, éste tiene derecho a resolver de pleno derecho el contrato por las siguientes causas: a) Por la falta de pago de la renta o, en su caso, de cualquiera de las cantidades cuyo pago haya asumido o corresponda al arrendatario. b) Por la falta de pago del importe de la fianza o de su actualización. c) Por el subarriendo o la cesión inconsentidos. d) Por la realización de daños causados dolosamente en la finca o de obras no consentidas por el arrendador cuando el consentimiento de éste sea necesario. e) En los casos en los que tengan lugar en la vivienda actividades molestas, insalubres, nocivas, peligrosas o ilícitas. f) Cuando la vivienda deje de estar destinada de forma primordial a satisfacer la necesidad permanente de vivienda del arrendatario o de quien efectivamente la viniera ocupando. Por su parte, también puede el arrendatario resolver el contrato por las siguientes causas: a) La no realización por el arrendador de las reparaciones a que se refiere el artículo 21. b) La perturbación de hecho o de derecho que realice el arrendador en la utilización de la vivienda. Está cláusula no es obligatoria pero es aconsejable. También es posible pactar que en caso de discrepancias las partes se sometan al sistema arbitral extrajudicial de conflictos. Para la resolución de cualquier conflicto que pudiera derivarse de la interpretación del presente las partes se someten a la jurisdicción ordinaria.",2487
